Row Type,Campaign,Ad Group,Keyword,Match Type,Max CPC,Campaign Daily Budget,Campaign Status,Ad Group Status,Keyword Status,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Final URL,Campaign Type,Network,Language,Location
Campaign,ME - PSE&G Heat Pump Rebates,,,,,5.00,Paused,,,,,,,,,,Search,Search,English,New Jersey
Ad Group,ME - PSE&G Heat Pump Rebates,Heat Pump Rebates NJ,,,,,,Active,,,,,,,,,,,
Keyword,ME - PSE&G Heat Pump Rebates,Heat Pump Rebates NJ,heat pump rebates nj,Phrase,3.50,,,,Active,,,,,,,,,,
Keyword,ME - PSE&G Heat Pump Rebates,Heat Pump Rebates NJ,pseg heat pump rebate,Phrase,3.50,,,,Active,,,,,,,,,,
Keyword,ME - PSE&G Heat Pump Rebates,Heat Pump Rebates NJ,nj heat pump incentives,Phrase,3.00,,,,Active,,,,,,,,,,
Keyword,ME - PSE&G Heat Pump Rebates,Heat Pump Rebates NJ,heat pump installation nj,Phrase,3.50,,,,Active,,,,,,,,,,
Keyword,ME - PSE&G Heat Pump Rebates,Heat Pump Rebates NJ,heat pump rebates new jersey,Phrase,3.00,,,,Active,,,,,,,,,,
Keyword,ME - PSE&G Heat Pump Rebates,Heat Pump Rebates NJ,pseg hvac rebate program,Phrase,3.00,,,,Active,,,,,,,,,,
Keyword,ME - PSE&G Heat Pump Rebates,Heat Pump Rebates NJ,nj clean energy heat pump,Phrase,2.50,,,,Active,,,,,,,,,,
Keyword,ME - PSE&G Heat Pump Rebates,Heat Pump Rebates NJ,heat pump cost nj,Phrase,3.00,,,,Active,,,,,,,,,,
Ad,ME - PSE&G Heat Pump Rebates,Heat Pump Rebates NJ,,,,,,,,Up to $16K in NJ Rebates,Heat Pump Installation NJ,Free Assessment No Obligation,NJ homeowners get up to $16K in PSE&G rebates plus $2K federal tax credit for heat pump installation. Free assessment.,Licensed NJ contractor. We handle all rebate paperwork. WMBE certified. Call (862) 419-1763.,https://mechanicalenterprise.com/rebate-calculator,,,,
Campaign,ME - Emergency HVAC Repair,,,,,5.00,Paused,,,,,,,,,,Search,Search,English,New Jersey
Ad Group,ME - Emergency HVAC Repair,Emergency HVAC NJ,,,,,,Active,,,,,,,,,,,
Keyword,ME - Emergency HVAC Repair,Emergency HVAC NJ,emergency hvac repair nj,Phrase,4.00,,,,Active,,,,,,,,,,
